"state","location","any.both_sexes_2003","any.females_2003","any.males_2003"
"Washington","San Juan County",74.9,70.8,79.2
"Washington","Jefferson County",70.2,65.3,75.2
"Washington","King County",67.5,62.9,72.2
"Washington","Island County",65.8,60,71.8
"Washington","Kittitas County",65,58.9,71.3
"Washington","Whatcom County",64.3,58.7,70.2
"Washington","Thurston County",64,58.9,69.3
"Washington","Whitman County",63.5,56,71.2
"Washington","Kitsap County",62.8,57,68.7
"Washington","Washington",62.3,56.6,68.1
"Washington","Spokane County",62.2,56.4,68.3
"Washington","Clallam County",61.9,55.6,68.3
"Washington","Snohomish County",61.2,54.9,67.6
"Washington","Mason County",61,55.1,67
"Washington","Clark County",60.4,55.7,65.2
"Washington","Pierce County",60.4,54.3,66.7
"Washington","Skagit County",60.3,54.3,66.5
"Washington","Skamania County",60.2,53.5,67.1
"Washington","Wahkiakum County",59.7,54.3,65.3
"Washington","Lincoln County",59.4,52.8,66.4
"Washington","Pend Oreille County",58,50.1,66.1
"Washington","Chelan County",57.9,50.5,65.6
"Washington","Douglas County",57.8,50.5,65.3
"Washington","Pacific County",57.7,51.5,64.2
"Washington","Stevens County",57.7,50.2,65.4
"Washington","Cowlitz County",57.1,51.8,62.6
"Washington","Asotin County",56.9,49.7,64.3
"Washington","Benton County",56.8,50.1,63.7
"Washington","Ferry County",56.6,50.2,63.2
"Washington","Columbia County",56.3,50,62.9
"Washington","Grays Harbor County",56.1,50.7,61.6
"Washington","Okanogan County",55.5,48.4,62.9
"Washington","Lewis County",55.3,48.9,62
"Washington","Garfield County",55,47.4,63
"Washington","Klickitat County",54.3,46.7,62.2
"Washington","Walla Walla County",53.7,47.4,60.3
"Washington","Yakima County",50.2,41.5,59.3
"Washington","Grant County",48.1,39.7,56.9
"Washington","Franklin County",46.5,36.8,56.5
"Washington","Adams County",42.5,31.4,54
